time,air_pressure,rainfall,river_level,sea_level
2018-09-02 08:00:12+08,1007.37,0,1541,1746
2018-09-02 08:10:12+08,1007.42,0,1541,1746
2018-09-02 08:20:12+08,1007.53,0,1540,1745
2018-09-02 08:30:12+08,1007.73,0,1540,1745
2018-09-02 08:40:14+08,1007.86,0,1540,1745
2018-09-02 08:50:12+08,1007.95,0,1541,1746
2018-09-02 09:00:12+08,1007.89,0,1540,1745
2018-09-02 09:10:13+08,1007.84,0,1540,1745
2018-09-02 09:20:12+08,1007.75,0,1539,1744
2018-09-02 09:30:12+08,1007.72,0,1538,1743
2018-09-02 09:40:12+08,1007.58,0,1538,1743
2018-09-02 09:50:12+08,1007.37,0,1538,1743
2018-09-02 10:00:13+08,1007.31,0,1539,1744
2018-09-02 10:10:12+08,1007.11,0,1537,1742
2018-09-02 10:20:12+08,1007.02,0,1538,1743
2018-09-02 10:30:12+08,1006.98,0,1538,1743
2018-09-02 10:40:12+08,1006.84,0,1538,1743
2018-09-02 10:50:12+08,1006.79,0,1538,1743
2018-09-02 11:00:12+08,1006.67,0,1539,1744
2018-09-02 11:10:14+08,1006.57,0,1538,1743
2018-09-02 11:20:12+08,1006.37,0,1538,1743
2018-09-02 11:30:13+08,1006.33,0,1538,1743
2018-09-02 11:40:12+08,1006.16,0,1537,1742
2018-09-02 11:50:12+08,1006.03,0,1537,1742
2018-09-02 12:00:12+08,1005.85,0,1538,1743
2018-09-02 12:10:13+08,1005.7,0,1538,1743
2018-09-02 12:20:12+08,1005.56,0,1537,1742
2018-09-02 12:30:12+08,1005.38,0,1538,1743
2018-09-02 12:40:13+08,1005.21,0,1538,1743
2018-09-02 12:50:13+08,1005.01,0,1538,1743
2018-09-02 13:00:12+08,1004.76,0,1537,1742
2018-09-02 13:10:12+08,1004.58,0,1537,1742
2018-09-02 13:20:12+08,1004.51,0,1537,1742
2018-09-02 13:30:12+08,1004.41,0,1536,1741
2018-09-02 13:40:12+08,1004.26,0,1536,1741
